Ver,Dataset,Display Name,Column ID,Category,Spec,Req's,Column Type,Feature Level,Condition,Deprecated,Removed,Allows Nulls,Data Type,Value Format,Allowed Values,Description
1.3,Cost and Usage,Allocated Method Details,AllocatedMethodDetails,Allocation,🔗,🔗,Dimension,Recommended,Supports data generator-calculated split cost allocation,False,False,True,JSON,JSON Object,n/a,A set of properties describing how resources are allocated in data generator-defined split cost allocation.
1.3,Cost and Usage,Allocated Method ID,AllocatedMethodId,Allocation,🔗,🔗,Dimension,Conditional,Supports data generator-calculated split cost allocation,False,False,True,String,Unspecified,n/a,A unique identifier defining the method of data generator-calculated split cost allocation.
1.3,Cost and Usage,Allocated Resource ID,AllocatedResourceId,Allocation,🔗,🔗,Dimension,Conditional,Supports data generator-calculated split cost allocation,False,False,True,String,Unspecified,n/a,The identifier of the object to which cost is allocated in data generator-calculated split cost allocation.
1.3,Cost and Usage,Allocated Resource Name,AllocatedResourceName,Allocation,🔗,🔗,Dimension,Conditional,Supports data generator-calculated split cost allocation,False,False,True,String,Unspecified,n/a,The display name of the object to which cost is allocated in data generator-calculated split cost allocation.
1.3,Cost and Usage,Allocated Tags,AllocatedTags,Allocation,🔗,🔗,Dimension,Conditional,Supports data generator-calculated split cost allocation,False,False,True,JSON,Key-Value,n/a,A set of tags assigned to tag sources that are applicable to allocated charges in data generator-calculated split cost allocation.
0.5,Cost and Usage,Availability Zone,AvailabilityZone,Location,🔗,🔗,Dimension,Recommended,Supports deploying resources or services within an availability zone,False,False,True,String,Unspecified,n/a,A host-provider-assigned identifier for a physically separated and isolated area within a Region that provides high availability and fault tolerance.
0.5,Cost and Usage,Billed Cost,BilledCost,Billing,🔗,🔗,Metric,Mandatory,n/a,False,False,False,Decimal,Decimal (any),n/a,"A charge serving as the basis for invoicing, inclusive of all reduced rates and discounts while excluding the amortization of upfront charges (one-time or recurring)."
0.5,Cost and Usage,Billing Account ID,BillingAccountId,Account,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Unspecified,n/a,The identifier assigned to a billing account by the invoice issuer.
0.5,Cost and Usage,Billing Account Name,BillingAccountName,Account,🔗,🔗,Dimension,Mandatory,n/a,False,False,True,String,Unspecified,n/a,The display name assigned to a billing account.
1.2,Cost and Usage,Billing Account Type,BillingAccountType,Account,🔗,🔗,Dimension,Conditional,Supports more than one possible BillingAccountType value,False,False,False,String,Unspecified,n/a,An invoice-issuer-assigned name to identify the type of billing account.
0.5,Cost and Usage,Billing Currency,BillingCurrency,Billing,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Currency,n/a,Represents the currency that a charge was billed in.
0.5,Cost and Usage,Billing Period End,BillingPeriodEnd,Timeframe,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,Date/Time,Date/Time,n/a,The exclusive end bound of a billing period.
0.5,Cost and Usage,Billing Period Start,BillingPeriodStart,Timeframe,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,Date/Time,Date/Time,n/a,The inclusive start bound of a billing period.
1.1,Cost and Usage,Capacity Reservation ID,CapacityReservationID,Capacity Reservation,🔗,🔗,Dimension,Conditional,Supports capacity reservations,False,False,True,String,Unspecified,n/a,The identifier assigned to a capacity reservation by the service provider.
1.1,Cost and Usage,Capacity Reservation Status,CapacityReservationStatus,Capacity Reservation,🔗,🔗,Dimension,Conditional,Supports capacity reservations,False,False,True,String,Allowed Values,"Used, Unused",Indicates whether the charge represents either the consumption of a capacity reservation or when a capacity reservation is unused.
0.5,Cost and Usage,Charge Category,ChargeCategory,Charge,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Allowed Values,"Usage, Purchase, Tax, Credit, Adjustment",Represents the highest-level classification of a charge based on the nature of how it is billed.
1.0,Cost and Usage,Charge Class,ChargeClass,Charge,🔗,🔗,Dimension,Mandatory,n/a,False,False,True,String,Allowed Values,Correction,Indicates whether the row represents a correction to a previously invoiced billing period.
1.0,Cost and Usage,Charge Description,ChargeDescription,Charge,🔗,🔗,Dimension,Mandatory,n/a,False,False,True,String,Unspecified,n/a,Self-contained summary of the charge's purpose and price.
1.0,Cost and Usage,Charge Frequency,ChargeFrequency,Charge,🔗,🔗,Dimension,Recommended,n/a,False,False,False,String,Allowed Values,"One-time, Recurring, Usage-Based",Indicates how often a charge will occur.
0.5,Cost and Usage,Charge Period End,ChargePeriodEnd,Timeframe,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,Date/Time,Date/Time,n/a,The exclusive end bound of a charge period.
0.5,Cost and Usage,Charge Period Start,ChargePeriodStart,Timeframe,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,Date/Time,Date/Time,n/a,The inclusive start bound of a charge period.
1.0,Cost and Usage,Commitment Discount Category,CommitmentDiscountCategory,Commitment Discount,🔗,🔗,Dimension,Conditional,Supports commitment discounts,False,False,True,String,Allowed Values,"Spend, Usage","Indicates whether the commitment discount identified in the CommitmentDiscountId column is based on usage quantity or cost (aka ""spend"")."
1.0,Cost and Usage,Commitment Discount ID,CommitmentDiscountId,Commitment Discount,🔗,🔗,Dimension,Conditional,Supports commitment discounts,False,False,True,String,Unspecified,n/a,The identifier assigned to a commitment discount by the service provider.
1.0,Cost and Usage,Commitment Discount Name,CommitmentDiscountName,Commitment Discount,🔗,🔗,Dimension,Conditional,Supports commitment discounts,False,False,True,String,Unspecified,n/a,The display name assigned to a commitment discount.
1.1,Cost and Usage,Commitment Discount Quantity,CommitmentDiscountQuantity,Commitment Discount,🔗,🔗,Metric,Conditional,Supports commitment discounts,False,False,True,Decimal,Decimal (any),n/a,The amount of a commitment discount purchased or accounted for in commitment discount related rows that is denominated in Commitment Discount Units.
1.0,Cost and Usage,Commitment Discount Status,CommitmentDiscountStatus,Commitment Discount,🔗,🔗,Dimension,Conditional,Supports commitment discounts,False,False,True,String,Allowed Values,"Used, Unused",Indicates whether the charge corresponds with the consumption of a commitment discount or the unused portion of the committed amount.
1.0,Cost and Usage,Commitment Discount Type,CommitmentDiscountType,Commitment Discount,🔗,🔗,Dimension,Conditional,Supports commitment discounts,False,False,True,String,Unspecified,n/a,A service-provider-assigned identifier for the type of commitment discount applied to the row.
1.1,Cost and Usage,Commitment Discount Unit,CommitmentDiscountUnit,Commitment Discount,🔗,🔗,Dimension,Conditional,Supports commitment discounts,False,False,True,String,Unit,n/a,The service-provider-specified measurement unit indicating how a service provider measures the Commitment Discount Quantity of a commitment discount.
1.0,Cost and Usage,Consumed Quantity,ConsumedQuantity,Billing,🔗,🔗,Metric,Conditional,Supports the measurement of usage,False,False,True,Decimal,Decimal (any),n/a,"The volume of a metered SKU associated with a resource or service used, based on the Consumed Unit."
1.0,Cost and Usage,Consumed Unit,ConsumedUnit,Billing,🔗,🔗,Dimension,Conditional,Supports the measurement of usage,False,False,True,String,Unit,n/a,Service-provider-specified measurement unit indicating how a service provider measures usage of a metered SKU associated with a resource or service.
1.3,Cost and Usage,Contract Applied,ContractApplied,Contract,🔗,🔗,Dimension / Metric,Conditional,Supports contract commitments,False,False,True,JSON,JSON Object,n/a,A set of properties that associate a charge with one or more contract commitments.
1.0,Cost and Usage,Contracted Cost,ContractedCost,Billing,🔗,🔗,Metric,Mandatory,n/a,False,False,False,Decimal,Decimal (any),n/a,Cost calculated by multiplying contracted unit price and the corresponding Pricing Quantity.
1.0,Cost and Usage,Contracted Unit Price,ContractedUnitPrice,Billing,🔗,🔗,Metric,Conditional,Supports negotiated pricing concepts,False,False,True,Decimal,Decimal (non-negative),n/a,"The agreed-upon unit price for a single Pricing Unit of the associated SKU, inclusive of negotiated discounts, if present, while excluding negotiated commitment discounts or any other discounts."
0.5,Cost and Usage,Effective Cost,EffectiveCost,Billing,🔗,🔗,Metric,Mandatory,n/a,False,False,False,Decimal,Decimal (any),n/a,"The amortized cost of the charge after applying all reduced rates, discounts, and the applicable portion of relevant, prepaid purchases (one-time or recurring) that covered this charge."
1.3,Cost and Usage,Host Provider Name,HostProviderName,Charge Origination,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Unspecified,n/a,The name of the entity whose resources are used by the Service Provider to make their resources or services available.
1.2,Cost and Usage,Invoice ID,InvoiceID,Charge Origination,🔗,🔗,Dimension,Recommended,n/a,False,False,True,String,Unspecified,n/a,The invoice-issuer-assigned identifier for an invoice encapsulating charges in the corresponding billing period for a given billing account.
0.5,Cost and Usage,Invoice Issuer Name,InvoiceIssuerName,Charge Origination,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Unspecified,n/a,The name of the entity responsible for invoicing for the resources or services consumed.
1.0,Cost and Usage,List Cost,ListCost,Billing,🔗,🔗,Metric,Mandatory,n/a,False,False,False,Decimal,Decimal (any),n/a,Cost calculated by multiplying List Unit Price and the corresponding Pricing Quantity.
1.0,Cost and Usage,List Unit Price,ListUnitPrice,Billing,🔗,🔗,Metric,Conditional,Publishes unit prices exclusive of discounts,False,False,True,Decimal,Decimal (non-negative),n/a,"The suggested service-provider-published unit price for a single Pricing Unit of the associated SKU, exclusive of any discounts."
1.0,Cost and Usage,Pricing Category,PricingCategory,Pricing,🔗,🔗,Dimension,Conditional,Supports more than one pricing category across all SKUs,False,False,True,String,Allowed Values,"Standard, Dynamic, Committed, Other",Describes the pricing model used for a charge at the time of use or purchase.
1.2,Cost and Usage,Pricing Currency,PricingCurrency,Pricing,🔗,🔗,Dimension,Conditional,Supports pricing and billing in different currencies,False,False,True,String,Currency,n/a,The national or virtual currency denomination that a resource or service was priced in.
1.2,Cost and Usage,Pricing Currency Contracted Unit Price,PricingCurrencyContractedUnitPrice,Pricing,🔗,🔗,Metric,Conditional,Supports prices in virtual currency and publishes unit prices exclusive of discounts,False,False,True,Decimal,Decimal (non-negative),n/a,"The agreed-upon unit price for a single Pricing Unit of the associated SKU, inclusive of negotiated discounts, if present, while excluding negotiated commitment discounts or any other discounts, and expressed in Pricing Currency."
